LicenseNumber,CompanyName,Credential Type,Status,MailingAddress1,MailingAddress2,City,StateCode,ZipCode,Phone,Parish,EffectiveDate,ExpirationDate,FirstEffectiveDate,OutOfStateFlag,Email
61698,"#1 ALL SEASONS LAWN SERVICE, L.L.C.",Commercial License Certificate,Active,,P.O. Box 2131,Suphur,LA,70664,,Calcasieu,07/08/2026,07/07/2029,07/07/2015,N,allseasonsjoe1@yahoo.com
68755,"09 Construction Services, LLC",Commercial License Certificate,Active,,1009 Creole Drive,Bossier City,LA,71111,(318) 564-8455,Bossier,07/19/2026,07/18/2029,07/18/2019,N,09construction@gmail.com
1464,1 Clear Choice Heat and Air LLC,Commercial License Certificate,Active,,"73 Enterprise Drive, Ste. C",PENDERGRASS,GA,30567,(470) 208-0029,Out-of-State,07/11/2026,07/10/2027,07/10/2025,Y,donny@occheatandair.com
64435,"1 PRIORITY ENVIRONMENTAL SERVICES, LLC",Commercial License Certificate,Active,,4028 Daley Ave.,FORT WORTH,TX,76180,(817) 595-0790,Out-of-State,12/01/2024,11/30/2027,11/30/2016,Y,toldham@go1priority.com
73519,1 Source HVAC and Electrical LLC,Commercial License Certificate,Active,,12410 LA Hwy 339,Erath,LA,70533,(337) 351-5996,Vermilion,03/17/2026,03/16/2027,03/16/2022,N,kentrodriguez@1sourcehvacelectric.com
67699,10-7 Enterprises L.L.C.,Commercial License Certificate,Active,,1032 S Worthington Drive,Lake Charles,LA,70605,(337) 794-0409,Calcasieu,09/18/2026,09/17/2029,09/17/2019,N,brianksim32@yahoo.com
885334,10-7 Enterprises L.L.C.,Residential License Certificate,Active,,1032 S Worthington Drive,Lake Charles,LA,70605,(337) 794-0409,Calcasieu,09/25/2024,09/24/2027,09/24/2018,N,brianksim32@yahoo.com
881425,"110 BUILDERS, L.L.C.",Residential License Certificate,Active,,221 St. Ann Drive Suite 1,Mandeville,LA,70471,(985) 260-5045,st Tammany,01/28/2025,01/27/2027,01/27/2012,N,info@110builders.com
882942,1st Psalm Builders L.L.C.,Residential License Certificate,Active,,420 5th Street,Natchitoches,LA,71457,(318) 471-4495,Natchitoches,04/09/2026,04/08/2027,04/08/2016,N,psalm1builders@yahoo.com
4393,"225Roofers, LLC",Residential License Certificate,Active,,9139 Falling Oak Dr.,Baton Rouge,LA,70817,(225) 819-9311,East Baton Rouge,08/05/2026,08/04/2027,08/04/2025,N,info@225roofers.com
5855,2C Roofing LLC,Residential License Certificate,Active,,210 E Jefferson Street,Opelousas,LA,70570,(337) 901-7663,St Landry,11/21/2025,11/21/2026,11/21/2025,N,donnette@2croofing.com
507,"2D Construction, L.L.C.",Residential License Certificate,Active,,134 Constance Road,Lake Charles,LA,70607,(337) 274-2797,Calcasieu,12/12/2025,12/11/2026,12/11/2024,N,boudreaux134@hotmail.com
563414,"158 S. Roadway, LLC",Home Improvement Registration,Active,,429 Lafitte Street,Mandeville,LA,70448,(985) 351-6491,St Tammany,06/06/2026,06/05/2027,05/10/2021,N,j.michaelbrunoii@gmail.com
12525,"171 Properties, Inc.",Home Improvement Registration,Active,,4321 Thompson Rd.,Sulphur,LA,70665,(337) 436-9511,Calcasieu,08/05/2026,08/05/2027,08/05/2026,N,jhelm2981@gmail.com
567529,"225Roofers, LLC",Home Improvement Registration,Active,,9139 Falling Oak Dr.,Baton Rouge,LA,70817,(225) 819-9311,East Baton Rouge,06/14/2025,06/13/2028,06/13/2023,N,info@225roofers.com
9747,"2312 N Prieur St, LLC",Home Improvement Registration,Active,,8001 Edgelake Ct.,New Orleans,LA,70126,(504) 975-7005,Orleans,04/08/2026,04/08/2027,04/08/2026,N,Paigerinc@yahoo.com
567655,2C Roofing LLC,Home Improvement Registration,Active,,210 E Jefferson Street,Opelousas,LA,70570,(337) 901-7663,St Landry,07/11/2026,07/10/2027,07/10/2023,N,donnette@2croofing.com
559473,"3 Brothers Construction Services, L.L.C.",Home Improvement Registration,Active,,135 Plantation Trace,Bossier City,LA,71112,(318) 780-4848,Bossier,09/07/2025,09/06/2026,09/06/2017,N,nsv113084@hotmail.com
250675,"1 PRIORITY ENVIRONMENTAL SERVICES, LLC",Mold Remediation License Certificate,Active,,4028 Daley Ave.,FORT WORTH,TX,76180,(817) 595-0790,Out-of-State,08/04/2025,11/30/2027,11/30/2016,Y,toldham@go1priority.com
251255,"360 Fire and Flood, LLC",Mold Remediation License Certificate,Active,,22310 Telegraph Hill,Southfield,MI,48033,(833) 360-3334,Out-of-State,10/29/2025,09/23/2028,09/23/2024,Y,jmackie@360fireflood.com
8509,"3S Construction and Restoration, LLC",Mold Remediation License Certificate,Active,,39 Fairway Circle,Haughton,LA,71037,(815) 973-9815,Bossier,04/30/2026,04/30/2027,04/30/2026,N,3scandr@gmail.com
251019,A & A Restoration LLC,Mold Remediation License Certificate,Active,,2225 Lakeway Drive,Friendswood,TX,77546,,Out-of-State,03/15/2024,03/14/2027,03/14/2022,Y,Apatel@rainbowwebster.com
250057,"A-1 REMODELING & BUILDING, INC.",Mold Remediation License Certificate,Active,,"33490 Sylve Road, Suite A",Slidell,LA,70460,,st Tammany,03/11/2026,03/10/2027,11/18/2004,N,billing@a1remodeling.com
250137,AAR INCORPORATED,Mold Remediation License Certificate,Active,,6640 Signat,Houston,TX,77041,,Out-of-State,11/29/2024,11/28/2027,11/28/2005,Y,Allison@aarinc.net
