period,measure,official_report_definition,microdata_record_class,microdata_date_field,microdata_total,official_reporter_total,absolute_difference,difference_percentage,within_expected_tolerance,known_explanation,unresolved_discrepancy,publication_approved
2023,housing_units_authorized,HOUSE_23.pdf New Jersey total,permit-issued municipal rows; permit date 2023; gross positive sale+rental units,permitdate,13222,21682,-8460,-39.02,no,"Official Reporter is audited; microdata is raw. Gap exceeds 15%. Do not publish the microdata calendar total as the official authorized-unit figure.",True,BLOCKED_DUE_TO_RECONCILIATION
2023,authorized_construction_value,WORK_23.pdf New Jersey total,"permit-issued municipal rows; permit date 2023; source-reported constcost (ok+zero, not P+C)",permitdate,12120951345.0,20907647665,-8786696320.0,-42.03,no,"Official Reporter is audited; microdata is raw. Gap exceeds 15%. Combined P+C cost remains blocked.",True,BLOCKED_DUE_TO_RECONCILIATION
2024,housing_units_authorized,HOUSE_24.pdf New Jersey total 27039,permit-issued municipal rows; permit date 2024; gross positive sale+rental units,permitdate,15688,27039,-11351,-41.98,no,"Official Reporter is audited; microdata is raw. Gap exceeds 15%.",True,BLOCKED_DUE_TO_RECONCILIATION
2024,new_construction_units,NEWHSE_24.pdf New Jersey total 26308,permit-issued municipal rows; permit date 2024; permit type New; gross positive units,permitdate,15004,26308,-11304,-42.97,no,"Official Reporter is audited; microdata is raw. Gap exceeds 15%.",True,BLOCKED_DUE_TO_RECONCILIATION
2024,authorized_construction_value,WORK_24.pdf New Jersey total 24170883245,permit-issued municipal rows; permit date 2024; constcost ok+zero,permitdate,11582457113.0,24170883245,-12588426132.0,-52.08,no,"Official Reporter is audited; microdata is raw. Gap exceeds 15%. $126.1B P+C figure remains blocked.",True,BLOCKED_DUE_TO_RECONCILIATION
2025,housing_units_authorized,HOUSE_12_2025.pdf YTD New Jersey 19865 (yearly PDF unpublished),permit-issued municipal rows; permit date 2025; gross positive units,permitdate,15932,19865,-3933,-19.8,no,"Gap about 20%. 2025 yearly Reporter PDF was not published (404).",True,BLOCKED_DUE_TO_RECONCILIATION
2025,authorized_construction_value,WORK_12_2025.pdf YTD overflowed in official PDF,permit-issued municipal rows; permit date 2025; constcost ok+zero,permitdate,14222615797.0,,,,unresolved,Official YTD cost not readable from the December 2025 PDF (cell overflow).,True,BLOCKED_DUE_TO_RECONCILIATION
2026-01,housing_units_authorized,HOUSE_01_2026.pdf New Jersey 2206,permit-issued municipal rows; permit date 2026-01; gross positive units,permitdate,,2206,,,unresolved,January 2026 is within the agency's unaudited two-month window relative to later months; treat as unaudited when publishing trends.,False,INTERNAL_ONLY
all-extract-p-plus-c,combined_source_records,not an official Reporter measure,all P and C source records,n/a,2678341,,,,unresolved,Do not publish as 2.68 million permits.,True,BLOCKED_PENDING_DEFINITION
all-extract-p-plus-c,combined_construction_cost,not an official Reporter measure,P+C costs previously reported as 126101062607,n/a,126101062607.0,,,,unresolved,P and C costs are not proven additive. Not approved.,True,BLOCKED_PENDING_DEFINITION
